datum_dolaska,total_occupancy
2016-10-19,381.0
2016-10-20,473.0
2016-10-21,418.0
2016-10-25,389.0
2016-10-26,422.0
2016-10-28,415.0
2016-10-29,489.0
2016-11-18,386.0
2016-12-06,233.0
2017-01-25,216.0
2017-02-22,350.0
2017-03-02,414.0
2017-04-21,311.0
2017-04-27,380.0
2017-05-15,424.0
2017-08-17,534.0
2016-01-18,115.0
2017-02-20,370.0
2016-02-02,136.0
2016-11-14,334.0
2017-01-17,236.0
2016-04-06,328.0
2017-02-21,325.0
2017-08-01,503.0
2016-01-20,151.0
2016-10-24,458.0
2017-04-18,356.0
2017-07-11,512.0
2016-07-15,483.0
2017-07-15,525.0
2016-09-22,414.0
2017-06-05,392.0
2016-12-31,411.0
2017-04-15,452.0
2016-04-07,336.0
2017-07-21,488.0
2016-02-23,183.0
2016-11-07,351.0
2016-02-04,177.0
2016-11-10,360.0
2017-01-29,361.0
2017-03-13,322.0
2017-04-17,401.0
2017-01-16,222.0
2017-03-24,283.0
2017-07-24,513.0
2016-11-09,357.0
2016-12-14,153.0
2017-02-01,190.0
2017-03-14,354.0
2017-05-30,438.0
2017-06-19,414.0
2017-01-23,203.0
2016-03-10,315.0
2017-01-12,201.0
2017-03-29,361.0
2017-06-01,471.0
2017-04-20,317.0
2016-07-19,470.0
2016-11-08,356.0
2017-04-26,337.0
2017-07-26,468.0
2017-06-23,437.0
2017-04-13,490.0
2017-07-28,496.0
2016-04-20,390.0
2016-11-15,346.0
2016-02-18,256.0
2016-12-15,160.0
2017-07-01,495.0
2017-03-28,315.0
2016-01-19,135.0
2017-01-24,206.0
2017-02-13,311.0
2017-05-31,430.0
2017-06-12,412.0
2017-08-29,459.0
2017-04-05,396.0
2017-06-20,425.0
2017-02-08,252.0
2017-05-08,385.0
2016-09-24,417.0
2016-11-02,416.0
2016-01-23,170.0
2016-12-23,250.0
2017-06-10,444.0
2016-09-28,384.0
2017-02-07,239.0
2017-03-15,346.0
2017-03-30,373.0
2017-04-12,441.0
2016-04-14,370.0
2017-01-26,255.0
2017-06-07,397.0
2016-10-18,376.0
2016-10-31,458.0
2016-11-03,408.0
2016-01-27,121.0
2017-01-09,186.0
2017-03-01,306.0
2017-01-04,242.0
2017-01-31,203.0
2017-04-04,331.0
2016-12-16,172.0
2016-11-27,240.0
2017-02-04,292.0
2016-08-13,522.0
2017-08-12,522.0
2015-12-09,107.0
2016-08-05,510.0
2017-08-04,521.0
2017-08-18,517.0
2017-04-09,465.0
2016-04-25,414.0
2016-09-17,409.0
2016-11-11,364.0
2017-05-24,414.0
2016-12-28,344.0
2016-10-17,406.0
2017-03-21,328.0
2017-04-11,409.0
2016-02-24,205.0
2016-02-29,368.0
2017-02-05,264.0
2017-01-21,234.0
2016-11-28,166.0
2016-04-29,382.0
2016-09-30,411.0
2017-02-14,348.0
2017-06-22,450.0
2016-11-22,210.0
2017-01-07,261.0
2017-05-02,418.0
2016-07-17,482.0
2017-07-16,499.0
2016-12-13,150.0
2017-03-07,289.0
2016-01-11,147.0
2017-06-09,405.0
2016-12-02,253.0
2016-08-11,503.0
2017-08-10,501.0
2017-03-16,342.0
2015-12-16,109.0
2016-01-05,178.0
2016-11-29,188.0
2016-12-05,226.0
2017-02-15,352.0
2017-02-24,394.0
2017-01-19,278.0
2016-01-15,191.0
2016-01-28,143.0
2016-04-15,359.0
2016-03-09,349.0
2016-12-19,177.0
2016-08-16,505.0
2016-10-02,422.0
2016-12-10,266.0
2016-12-12,138.0
2016-10-27,424.0
2016-03-14,247.0
2016-12-08,316.0
2016-11-01,435.0
2016-12-30,436.0
2017-03-04,355.0
2017-04-03,354.0
2017-05-23,433.0
2017-02-25,502.0
2017-01-14,236.0
2017-01-27,308.0
2016-06-30,467.0
2016-07-26,469.0
2016-11-04,441.0
2017-01-30,281.0
2017-07-23,491.0
2017-07-17,476.0
2017-07-08,496.0
2017-05-22,426.0
2017-08-06,535.0
2017-08-21,528.0
2017-07-02,459.0
2016-08-28,505.0
2017-02-11,322.0
2017-07-03,456.0
2016-10-05,430.0
2017-01-05,252.0
2017-06-15,451.0
2017-02-16,351.0
2017-08-22,522.0
2017-03-26,354.0
2016-12-22,214.0
2016-01-04,192.0
2017-04-08,419.0
2016-11-16,330.0
2017-01-18,223.0
2017-03-22,321.0
2016-12-21,179.0
2017-01-13,189.0
2017-03-06,358.0
2017-02-10,266.0
2016-03-04,291.0
2017-02-06,258.0
2016-12-17,220.0
2017-05-06,391.0
2016-11-19,417.0
2016-12-11,250.0
2017-02-18,421.0
2017-05-04,423.0
2017-07-09,534.0
2017-07-10,506.0
2016-01-31,152.0
2017-08-13,525.0
2016-11-25,263.0
2017-05-11,375.0
2017-04-24,332.0
2017-08-11,484.0
2016-08-20,528.0
2017-08-02,508.0
2016-08-07,495.0
2016-11-21,305.0
2016-11-24,227.0
2016-11-30,181.0
2017-08-25,527.0
2016-01-21,139.0
2016-04-09,400.0
2017-02-17,421.0
2017-03-05,421.0
2017-04-22,384.0
2016-12-29,340.0
2017-04-30,450.0
2017-03-23,339.0
2017-06-11,458.0
2017-03-09,362.0
2017-04-14,478.0
2017-03-20,329.0
2016-03-01,213.0
2017-01-10,186.0
2017-05-16,413.0
2017-05-29,453.0
2017-08-03,518.0
2017-03-08,289.0
2017-01-06,253.0
2017-01-28,347.0
2017-02-26,478.0
2017-06-24,482.0
2017-06-06,381.0
2017-06-16,422.0
2017-07-18,501.0
2017-07-22,474.0
2017-08-07,541.0
2017-01-02,325.0
2017-05-05,414.0
2016-08-06,504.0
2016-10-30,487.0
2017-08-26,527.0
2017-06-26,454.0
2016-11-23,221.0
2016-12-20,174.0
2016-04-13,354.0
2016-11-20,382.0
2016-07-16,490.0
2017-05-09,391.0
2017-03-10,381.0
2016-01-07,164.0
2017-01-11,174.0
2016-08-03,481.0
2016-12-03,333.0
2017-04-02,355.0
2016-12-27,355.0
2016-03-11,354.0
2016-02-07,402.0
2017-06-27,417.0
2017-06-13,414.0
2015-11-22,385.0
2017-05-28,497.0
2017-02-03,195.0
2017-03-03,344.0
2016-11-12,401.0
2017-03-18,371.0
2015-11-29,201.0
2016-03-12,425.0
2017-05-12,395.0
2015-12-13,126.0
2017-06-28,419.0
2016-11-17,346.0
2017-05-20,407.0
2017-02-12,323.0
2016-10-01,391.0
2017-06-03,464.0
2017-06-30,479.0
2016-01-03,337.0
2017-01-03,229.0
2016-01-10,150.0
2017-01-08,241.0
2017-02-23,396.0
2017-02-19,418.0
2016-01-16,192.0
2016-11-05,455.0
2017-03-12,367.0
2016-01-17,168.0
2017-03-31,406.0
2016-11-26,282.0
2017-05-10,355.0
2016-01-24,147.0
2017-07-19,483.0
2017-02-02,158.0
2017-05-03,384.0
2017-03-17,340.0
2016-01-30,157.0
2017-03-27,291.0
2017-04-07,369.0
2016-02-21,199.0
2017-04-06,375.0
2016-02-28,409.0
2016-03-05,299.0
2017-05-01,439.0
2016-03-06,286.0
2017-05-17,413.0
2017-03-19,362.0
2017-02-09,231.0
2016-12-09,231.0
2016-03-26,443.0
2017-04-10,395.0
2016-03-27,461.0
2016-07-22,480.0
2017-06-08,401.0
2016-12-07,240.0
2017-05-13,423.0
2017-02-27,460.0
2017-04-23,393.0
2017-06-29,423.0
2016-08-17,490.0
2017-07-12,498.0
2017-08-23,514.0
2017-03-11,410.0
2016-10-23,455.0
2016-07-31,477.0
2017-05-07,372.0
2017-06-18,433.0
2017-05-27,402.0
2016-06-05,439.0
2017-06-04,433.0
2017-06-17,443.0
2017-06-21,426.0
2017-05-25,539.0
2017-07-20,486.0
2016-07-23,517.0
2016-10-22,411.0
2017-07-29,509.0
2017-08-15,504.0
2017-04-19,331.0
2016-08-04,519.0
2016-08-25,500.0
2016-08-14,492.0
2017-08-16,509.0
2016-08-22,560.0
2017-08-19,539.0
2017-08-14,492.0
2017-08-09,501.0
2017-08-24,532.0
2017-08-20,531.0
2017-08-08,530.0
2017-08-27,535.0
2017-04-29,532.0
2017-05-26,406.0
2017-04-28,373.0
2016-10-04,398.0
2016-10-15,347.0
2017-06-14,401.0
2016-12-24,310.0
2016-12-26,359.0
2016-11-06,392.0
2016-11-13,335.0
2017-01-20,190.0
2016-12-01,182.0
2016-12-04,285.0
2017-01-15,207.0
2016-12-18,203.0
2016-12-25,312.0
2017-01-01,384.0
2017-06-02,427.0
2017-05-21,416.0
2017-05-14,403.0
2017-01-22,243.0
2017-03-25,345.0
2017-02-28,408.0
2017-04-25,342.0
2017-08-31,477.0
2017-04-01,386.0
2017-07-05,459.0
2017-04-16,430.0
2017-07-25,501.0
2017-05-18,429.0
2017-05-19,384.0
2017-06-25,439.0
2017-08-28,516.0
2017-07-04,450.0
2017-07-06,484.0
2017-07-07,469.0
2017-07-13,504.0
2017-07-14,510.0
2017-07-27,495.0
2017-07-30,501.0
2017-07-31,497.0
2017-08-05,530.0
2017-08-30,460.0
