,index,hotel_id,datum_dolaska,datum_odjave,kanal_prodaje_id,tip_sobe_id,cijena_nocenja,rezervacija_id,gost_id,zemlja_gosta_mapped,broj_gostiju
40,50,0,2015-07-02,2015-07-09,2,2,135.89446957493234,1313273,1077598,8,2.0
41,51,0,2015-07-02,2015-07-13,2,1,138.01176115993894,1313274,1098116,4,2.0
42,52,0,2015-07-02,2015-07-16,2,2,112.878904118479,1313275,1021482,9,2.0
43,53,0,2015-07-02,2015-07-03,2,1,41.06079708817308,1313276,1014277,3,2.0
44,54,0,2015-07-02,2015-07-03,2,6,200.97417228171298,1313277,1039321,10,2.0
45,55,0,2015-07-02,2015-07-03,0,0,199.98968561797622,1313278,1083127,3,4.0
46,56,0,2015-07-02,2015-07-03,0,6,383.34280449687077,1313279,1002503,0,2.0
47,57,0,2015-07-02,2015-07-03,2,1,184.13242273351543,1313280,1057072,0,2.0
48,58,0,2015-07-02,2015-07-03,0,4,170.24995423310912,1313281,1022160,0,2.0
49,59,0,2015-07-02,2015-07-04,2,1,186.56082239311795,1313282,1037725,2,2.0
50,60,0,2015-07-02,2015-07-04,2,4,142.48396902066355,1313283,1101763,0,2.0
51,61,0,2015-07-02,2015-07-04,2,3,262.73302869175336,1313284,1104632,4,2.0
52,62,0,2015-07-02,2015-07-05,0,5,204.09510239293968,1313285,1072155,3,2.0
53,63,0,2015-07-02,2015-07-05,2,1,81.62682079011212,1313286,1061014,4,2.0
54,65,0,2015-07-03,2015-07-05,2,4,169.65886715806016,1313288,1089081,2,4.0
55,66,0,2015-07-03,2015-07-05,2,1,158.458184189947,1313289,1086249,3,2.0
56,67,0,2015-07-03,2015-07-05,2,2,145.21844016411293,1313290,1046482,11,2.0
57,72,0,2015-07-03,2015-07-05,2,1,129.95114153130135,1313295,1070871,0,2.0
58,73,0,2015-07-03,2015-07-05,2,1,92.04285970681913,1313296,1023328,3,2.0
59,75,0,2015-07-03,2015-07-06,2,1,113.3336874916259,1313298,1054025,3,2.0
60,77,0,2015-07-03,2015-07-07,2,1,90.94404022873464,1313300,1014575,0,1.0
61,78,0,2015-07-03,2015-07-07,2,1,178.4818555725955,1313301,1082661,12,2.0
62,79,0,2015-07-03,2015-07-11,2,2,109.40140311595957,1313302,1081360,0,3.0
63,80,0,2015-07-03,2015-07-12,2,1,89.54155265874437,1313303,1067737,5,2.0
64,82,0,2015-07-03,2015-07-13,2,1,51.2048216589844,1313305,1078895,1,2.0
65,84,0,2015-07-03,2015-07-13,2,3,79.47022530189896,1313307,1074384,1,2.0
66,85,0,2015-07-03,2015-07-17,2,3,163.02627883304032,1313308,1036972,1,2.0
67,86,0,2015-07-03,2015-07-17,2,5,100.72431384289585,1313309,1067830,1,2.0
68,88,0,2015-07-03,2015-07-04,2,1,97.10548639219853,1313311,1028909,1,2.0
69,89,0,2015-07-03,2015-07-04,2,1,117.90043829129826,1313312,1061130,0,2.0
70,90,0,2015-07-03,2015-07-04,2,1,95.9299513952352,1313313,1051727,3,2.0
71,91,0,2015-07-03,2015-07-04,2,3,142.04056666467466,1313314,1061897,0,2.0
72,92,0,2015-07-03,2015-07-04,2,0,136.88938875859705,1313315,1007512,2,2.0
73,93,0,2015-07-03,2015-07-04,2,1,244.52466304050566,1313316,1075743,13,2.0
74,97,0,2015-07-03,2015-07-10,2,3,277.56390619653797,1313320,1041265,3,3.0
75,98,0,2015-07-03,2015-07-10,2,2,80.58474392066347,1313321,1011049,0,3.0
76,99,0,2015-07-03,2015-07-10,0,3,96.8162311263532,1313322,1088569,12,2.0
77,100,0,2015-07-04,2015-07-07,0,1,104.56174394737843,1313323,1049256,3,2.0
78,101,0,2015-07-04,2015-07-07,2,2,94.87390675832654,1313324,1039881,5,2.0
79,102,0,2015-07-04,2015-07-10,2,5,119.50516393448686,1313325,1004021,5,3.0
80,103,0,2015-07-04,2015-07-10,2,1,135.98083699114375,1313326,1022783,0,2.0
81,104,0,2015-07-04,2015-07-11,2,3,168.00843342971103,1313327,1082108,0,2.0
82,108,0,2015-07-04,2015-07-11,2,1,103.48629835692267,1313331,1097038,0,2.0
83,109,0,2015-07-04,2015-07-11,2,1,70.847491761445,1313332,1077008,0,3.0
84,110,0,2015-07-04,2015-07-11,2,2,126.95032788460233,1313333,1055403,14,2.0
85,111,0,2015-07-04,2015-07-11,2,3,71.49220263617732,1313334,1085359,0,3.0
86,112,0,2015-07-04,2015-07-11,2,1,87.61567106729726,1313335,1080652,1,2.0
87,113,0,2015-07-04,2015-07-12,2,3,157.73392116509348,1313336,1022544,0,3.0
88,115,0,2015-07-04,2015-07-12,2,1,340.5149682641109,1313338,1042201,0,2.0
89,116,0,2015-07-04,2015-07-14,2,2,67.32486649297847,1313339,1078756,1,2.0
90,117,0,2015-07-04,2015-07-14,2,2,54.64367932054866,1313340,1106013,0,2.0
91,118,0,2015-07-04,2015-07-14,0,2,245.9679857264878,1313341,1023845,0,3.0
92,119,0,2015-07-04,2015-07-05,2,6,150.19385305751507,1313342,1066267,0,4.0
93,120,0,2015-07-04,2015-07-05,2,2,150.5484774498367,1313343,1070263,0,2.0
94,125,0,2015-07-04,2015-07-05,0,6,100.0,1313348,1094806,0,4.0
95,126,0,2015-07-04,2015-07-05,2,3,112.07247892898859,1313349,1008481,3,2.0
96,127,0,2015-07-04,2015-07-06,2,1,97.36785610669395,1313350,1040977,5,2.0
97,128,0,2015-07-04,2015-07-06,2,1,142.69383480063632,1313351,1020437,0,2.0
98,129,0,2015-07-04,2015-07-06,2,1,93.938116334189,1313352,1044352,5,2.0
99,130,0,2015-07-04,2015-07-06,2,1,50.993478790822714,1313353,1043498,5,2.0
100,131,0,2015-07-05,2015-07-06,2,1,69.54786481342327,1313354,1014389,3,2.0
101,133,0,2015-07-05,2015-07-06,2,1,85.64064334167466,1313356,1077336,3,2.0
102,134,0,2015-07-05,2015-07-06,2,1,140.04083795910333,1313357,1081973,12,1.0
103,135,0,2015-07-05,2015-07-06,2,1,95.8662882561865,1313358,1094150,0,1.0
104,136,0,2015-07-05,2015-07-06,2,1,60.518892558108284,1313359,1021539,0,2.0
105,137,0,2015-07-05,2015-07-06,2,1,82.19496850962908,1313360,1049184,12,1.0
106,139,0,2015-07-05,2015-07-06,0,4,256.19974653091975,1313362,1008528,0,2.0
107,140,0,2015-07-05,2015-07-07,2,4,162.94087636138786,1313363,1048449,0,3.0
108,141,0,2015-07-05,2015-07-07,2,2,147.97285656988015,1313364,1051749,5,2.0
109,142,0,2015-07-05,2015-07-09,2,2,99.79662781568565,1313365,1099843,3,2.0
110,143,0,2015-07-05,2015-07-10,2,1,143.62037110524173,1313366,1095163,15,3.0
111,144,0,2015-07-05,2015-07-10,2,3,152.60614776782623,1313367,1053732,3,2.0
112,145,0,2015-07-05,2015-07-10,2,3,93.13577220521708,1313368,1021324,0,2.0
113,146,0,2015-07-05,2015-07-11,2,6,239.8370519338837,1313369,1001034,3,2.0
114,147,0,2015-07-05,2015-07-11,2,1,45.431120298143526,1313370,1000543,0,2.0
115,150,0,2015-07-05,2015-07-12,0,0,177.53354882706705,1313373,1096268,0,4.0
116,151,0,2015-07-05,2015-07-12,2,5,69.21637977028624,1313374,1025155,4,2.0
117,153,0,2015-07-05,2015-07-12,2,3,106.30884326125621,1313376,1057829,3,2.0
118,154,0,2015-07-05,2015-07-14,2,6,228.38744589821047,1313377,1074965,14,4.0
119,155,0,2015-07-05,2015-07-15,2,2,64.13848678260577,1313378,1034645,0,2.0
120,156,0,2015-07-05,2015-07-15,0,2,106.85550513866824,1313379,1029473,0,3.0
121,157,0,2015-07-05,2015-07-16,2,2,211.59575199194137,1313380,1071140,1,2.0
122,158,0,2015-07-05,2015-07-19,2,1,126.06437602413196,1313381,1000578,1,1.0
123,159,0,2015-07-05,2015-07-19,2,2,158.67400202259458,1313382,1038714,1,2.0
124,160,0,2015-07-06,2015-07-11,2,4,250.33756857239104,1313383,1063188,0,4.0
125,161,0,2015-07-06,2015-07-10,2,1,82.31604910092456,1313384,1067551,0,2.0
126,162,0,2015-07-06,2015-07-10,2,4,218.82477861326157,1313385,1008050,2,2.0
127,163,0,2015-07-06,2015-07-10,2,2,242.43170564560288,1313386,1045598,15,3.0
128,164,0,2015-07-06,2015-07-10,0,4,331.82716273143654,1313387,1046102,14,4.0
129,165,0,2015-07-06,2015-07-10,2,2,107.09808593462037,1313388,1022388,0,3.0
130,166,0,2015-07-06,2015-07-10,2,4,174.43696032443327,1313389,1004007,2,3.0
131,167,0,2015-07-06,2015-07-06,2,1,100.0,1313390,1038273,0,2.0
132,168,0,2015-07-06,2015-07-06,0,3,100.0,1313391,1063584,0,1.0
133,169,0,2015-07-06,2015-07-07,0,1,180.15210131181576,1313392,1060520,0,3.0
134,170,0,2015-07-06,2015-07-08,2,1,82.12751214310346,1313393,1057905,0,2.0
135,171,0,2015-07-06,2015-07-08,2,2,49.00767979576343,1313394,1057303,2,2.0
136,172,0,2015-07-06,2015-07-09,2,2,97.26274360647515,1313395,1003809,16,2.0
137,174,0,2015-07-06,2015-07-10,2,1,142.83406051955242,1313397,1097100,0,2.0
138,175,0,2015-07-06,2015-07-10,2,1,91.16411310408083,1313398,1018912,0,2.0
139,176,0,2015-07-06,2015-07-11,2,3,40.3716145576491,1313399,1105631,0,2.0
140,177,0,2015-07-06,2015-07-11,0,5,256.3753126635811,1313400,1052000,0,2.0
141,178,0,2015-07-06,2015-07-12,2,1,219.9659448623159,1313401,1070820,3,2.0
142,179,0,2015-07-06,2015-07-12,2,3,196.13092292876732,1313402,1032446,0,2.0
143,180,0,2015-07-06,2015-07-13,2,4,179.778415847439,1313403,1104574,0,4.0
144,182,0,2015-07-06,2015-07-13,2,1,69.12666726486391,1313405,1083341,1,2.0
145,183,0,2015-07-06,2015-07-14,2,1,227.9583233220614,1313406,1052509,0,2.0
146,185,0,2015-07-06,2015-07-16,2,1,67.09404247151272,1313408,1024814,1,2.0
147,186,0,2015-07-06,2015-07-16,2,2,73.8901195315729,1313409,1049629,1,2.0
148,187,0,2015-07-06,2015-07-16,0,5,196.46031914924657,1313410,1019398,0,2.0
149,188,0,2015-07-06,2015-07-16,2,2,77.63328974631044,1313411,1055801,1,2.0
150,189,0,2015-07-06,2015-07-17,0,1,125.35858120622446,1313412,1086747,5,1.0
151,190,0,2015-07-06,2015-07-20,2,2,126.2174864808148,1313413,1050017,17,2.0
152,191,0,2015-07-06,2015-07-20,2,1,101.2484332617242,1313414,1027395,1,2.0
153,192,0,2015-07-06,2015-07-13,2,2,151.87191999960385,1313415,1019932,0,2.0
154,194,0,2015-07-07,2015-07-10,2,1,69.51412374521205,1313417,1094415,3,2.0
155,195,0,2015-07-07,2015-07-10,0,5,189.46407615954186,1313418,1093387,0,3.0
156,196,0,2015-07-07,2015-07-07,0,1,100.0,1313419,1023648,0,2.0
157,197,0,2015-07-07,2015-07-07,2,1,100.0,1313420,1074866,0,2.0
158,198,0,2015-07-07,2015-07-08,2,1,46.14316964251575,1313421,1020830,1,1.0
159,199,0,2015-07-07,2015-07-08,0,0,298.66518502216275,1313422,1064359,0,3.0
160,200,0,2015-07-07,2015-07-08,2,1,202.27086761993942,1313423,1097095,1,1.0
161,201,0,2015-07-07,2015-07-11,2,6,195.00561598899685,1313424,1046004,3,5.0
162,202,0,2015-07-07,2015-07-11,2,2,152.79534019152254,1313425,1092323,0,2.0
163,203,0,2015-07-07,2015-07-11,2,2,283.66114905736885,1313426,1010685,2,3.0
164,204,0,2015-07-07,2015-07-11,0,1,66.92699048517645,1313427,1021505,18,2.0
165,207,0,2015-07-07,2015-07-14,2,2,78.39119368763697,1313430,1105852,4,2.0
166,209,0,2015-07-07,2015-07-21,2,2,133.33619650152679,1313432,1070563,4,2.0
167,210,0,2015-07-08,2015-07-11,2,3,151.6964798386803,1313433,1079946,1,2.0
168,211,0,2015-07-08,2015-07-12,2,1,153.48158352756187,1313434,1031119,0,2.0
169,212,0,2015-07-08,2015-07-12,2,1,218.1984896793814,1313435,1006091,3,2.0
170,214,0,2015-07-08,2015-07-12,2,2,169.54538977498413,1313437,1096464,3,2.0
171,215,0,2015-07-08,2015-07-12,2,1,231.8311547294187,1313438,1080878,0,2.0
172,217,0,2015-07-08,2015-07-09,2,1,87.67056439616518,1313440,1103563,0,1.0
173,220,0,2015-07-08,2015-07-10,1,1,60.34185164978214,1313443,1094644,14,2.0
174,222,0,2015-07-08,2015-07-14,0,3,120.84640227697832,1313445,1020120,0,2.0
175,224,0,2015-07-08,2015-07-15,2,3,71.00894184487157,1313447,1057531,1,2.0
176,225,0,2015-07-08,2015-07-15,2,2,138.85997621257542,1313448,1107244,1,2.0
177,226,0,2015-07-08,2015-07-15,2,3,298.9210694477375,1313449,1026053,0,2.0
178,227,0,2015-07-08,2015-07-16,0,1,172.91627692298272,1313450,1099112,4,3.0
179,228,0,2015-07-08,2015-07-17,2,3,156.19890234780982,1313451,1038895,19,3.0
180,229,0,2015-07-08,2015-07-17,2,3,124.7027460172104,1313452,1106703,19,2.0
181,230,0,2015-07-09,2015-07-10,2,0,133.66438574378262,1313453,1018806,0,4.0
182,231,0,2015-07-09,2015-07-11,0,1,183.9803618911553,1313454,1103832,10,3.0
183,232,0,2015-07-09,2015-07-11,0,6,244.9031439044746,1313455,1039715,0,4.0
184,236,0,2015-07-09,2015-07-12,2,1,101.00284660108643,1313459,1031293,0,3.0
185,239,0,2015-07-09,2015-07-13,0,1,145.67874042391685,1313462,1066275,20,1.0
186,240,0,2015-07-09,2015-07-14,2,1,68.59121688245669,1313463,1037783,21,2.0
187,241,0,2015-07-09,2015-07-14,2,1,101.63425399572053,1313464,1066078,11,2.0
188,242,0,2015-07-09,2015-07-16,2,1,142.6657003733009,1313465,1029755,5,2.0
189,243,0,2015-07-09,2015-07-16,2,1,138.15547531466567,1313466,1090551,1,2.0
190,244,0,2015-07-09,2015-07-16,2,3,201.99884469359736,1313467,1052416,1,2.0
191,245,0,2015-07-09,2015-07-16,2,3,227.1372082930413,1313468,1059405,1,2.0
192,246,0,2015-07-09,2015-07-16,2,1,129.61699360090927,1313469,1023428,0,2.0
193,248,0,2015-07-10,2015-07-11,0,1,71.30143555199732,1313471,1091776,2,2.0
194,249,0,2015-07-10,2015-07-12,2,1,104.46285229423805,1313472,1105436,0,2.0
195,250,0,2015-07-10,2015-07-12,2,1,66.42186945723772,1313473,1069748,0,2.0
196,251,0,2015-07-10,2015-07-12,2,1,88.95688746746039,1313474,1046470,0,2.0
197,252,0,2015-07-10,2015-07-12,2,1,104.01610474727532,1313475,1033745,0,2.0
198,253,0,2015-07-10,2015-07-12,2,1,186.61869304620063,1313476,1032794,0,2.0
199,254,0,2015-07-10,2015-07-12,2,4,253.10779707932662,1313477,1064480,0,3.0
200,255,0,2015-07-10,2015-07-12,2,2,92.43673345681306,1313478,1031175,0,2.0
201,256,0,2015-07-10,2015-07-12,2,1,41.97014420505992,1313479,1010179,0,2.0
202,257,0,2015-07-10,2015-07-13,2,0,176.38947349524113,1313480,1026528,1,2.0
203,258,0,2015-07-10,2015-07-13,0,1,71.43798835927214,1313481,1056151,22,2.0
204,259,0,2015-07-10,2015-07-13,2,3,102.00496491496239,1313482,1033797,1,2.0
205,260,0,2015-07-10,2015-07-14,0,5,147.91528199757985,1313483,1027775,0,2.0
206,261,0,2015-07-10,2015-07-14,0,5,260.3321961267036,1313484,1069276,0,2.0
207,263,0,2015-07-10,2015-07-15,2,1,126.38374645647995,1313486,1031980,11,2.0
208,264,0,2015-07-10,2015-07-15,0,0,184.81874224760696,1313487,1093828,0,4.0
209,265,0,2015-07-10,2015-07-15,2,4,218.3157701203988,1313488,1074512,23,4.0
210,266,0,2015-07-10,2015-07-17,2,1,89.17649449023922,1313489,1031115,0,2.0
211,267,0,2015-07-10,2015-07-17,0,2,270.6711734690374,1313490,1028973,0,2.0
212,268,0,2015-07-10,2015-07-17,2,2,147.4993444547826,1313491,1035579,0,2.0
213,269,0,2015-07-10,2015-07-17,2,3,63.3282434212108,1313492,1063590,0,2.0
214,270,0,2015-07-10,2015-07-17,2,3,58.84010451002225,1313493,1035180,20,1.0
215,271,0,2015-07-10,2015-07-17,2,5,233.2679210592023,1313494,1001076,1,3.0
216,272,0,2015-07-10,2015-07-17,2,0,188.12334914378044,1313495,1047482,0,4.0
217,273,0,2015-07-10,2015-07-18,0,0,248.51074758083905,1313496,1043163,0,4.0
218,274,0,2015-07-10,2015-07-19,2,1,139.5489464182525,1313497,1032674,4,2.0
219,275,0,2015-07-10,2015-07-20,2,2,153.6449359280887,1313498,1052522,0,2.0
220,276,0,2015-07-10,2015-07-21,2,5,181.142871657844,1313499,1052175,1,3.0
221,277,0,2015-07-10,2015-07-23,2,0,132.2970798791121,1313500,1006812,19,2.0
222,278,0,2015-07-10,2015-07-17,2,2,149.89403491976412,1313501,1006387,1,3.0
223,279,0,2015-07-10,2015-07-17,2,5,93.72691909960045,1313502,1033881,1,2.0
224,281,0,2015-07-11,2015-07-16,2,1,223.7316839518669,1313504,1029742,3,2.0
225,282,0,2015-07-11,2015-07-17,2,1,76.38933631800334,1313505,1002164,0,3.0
226,284,0,2015-07-11,2015-07-17,2,2,282.2315996142925,1313507,1061394,0,3.0
227,285,0,2015-07-11,2015-07-17,2,1,137.05355915872042,1313508,1047561,3,2.0
228,286,0,2015-07-11,2015-07-18,0,3,174.88468365185304,1313509,1060389,0,2.0
229,288,0,2015-07-11,2015-07-15,2,3,100.25172140673558,1313511,1029933,1,2.0
230,289,0,2015-07-11,2015-07-15,2,3,195.4945252383813,1313512,1086469,0,2.0
231,290,0,2015-07-11,2015-07-15,2,3,89.29136312407614,1313513,1081320,24,2.0
232,291,0,2015-07-11,2015-07-12,0,1,169.2702853403274,1313514,1020829,1,1.0
233,292,0,2015-07-11,2015-07-12,2,1,182.71962940802044,1313515,1102221,12,2.0
234,293,0,2015-07-11,2015-07-12,0,4,172.35502497724914,1313516,1088380,3,2.0
235,294,0,2015-07-11,2015-07-12,2,1,226.46798697560908,1313517,1082202,3,2.0
236,295,0,2015-07-11,2015-07-13,1,1,88.2593588216039,1313518,1052529,0,2.0
237,296,0,2015-07-11,2015-07-13,2,1,77.90341323496729,1313519,1074582,3,2.0
238,297,0,2015-07-11,2015-07-13,2,0,151.51689306802862,1313520,1041391,7,2.0
239,298,0,2015-07-11,2015-07-14,2,3,162.4335326203546,1313521,1073388,0,2.0
240,299,0,2015-07-11,2015-07-14,2,1,235.47757155733032,1313522,1013050,3,2.0
241,300,0,2015-07-11,2015-07-18,2,2,95.06516182255537,1313523,1043500,0,2.0
242,301,0,2015-07-11,2015-07-18,2,1,250.40260111370182,1313524,1104474,0,2.0
243,303,0,2015-07-11,2015-07-19,0,4,333.67141404515814,1313526,1036464,0,4.0
244,304,0,2015-07-11,2015-07-21,2,3,231.82662141003667,1313527,1070894,0,2.0
245,305,0,2015-07-11,2015-07-18,0,1,98.81383690888626,1313528,1079390,0,2.0
246,306,0,2015-07-11,2015-07-18,2,3,204.22193605100531,1313529,1074638,0,2.0
247,307,0,2015-07-12,2015-07-13,2,4,165.72423446867623,1313530,1080382,15,4.0
248,308,0,2015-07-12,2015-07-13,2,1,166.18018733657624,1313531,1079511,0,2.0
249,309,0,2015-07-12,2015-07-18,2,1,136.77859120677564,1313532,1090866,0,3.0
250,311,0,2015-07-12,2015-07-19,2,1,230.67676759586908,1313534,1057641,1,2.0
251,312,0,2015-07-12,2015-07-19,2,2,128.28555295458216,1313535,1086579,25,2.0
252,313,0,2015-07-12,2015-07-19,2,1,115.1672188748663,1313536,1061140,0,2.0
253,314,0,2015-07-12,2015-07-19,2,2,160.50795503004397,1313537,1105196,3,3.0
254,316,0,2015-07-12,2015-07-19,2,1,141.2269851603839,1313539,1083031,1,2.0
255,317,0,2015-07-12,2015-07-19,2,1,166.19033246112255,1313540,1052116,0,3.0
256,318,0,2015-07-12,2015-07-19,2,3,150.23280326390616,1313541,1029879,0,2.0
257,319,0,2015-07-12,2015-07-19,2,2,110.83626274667682,1313542,1010133,1,2.0
258,321,0,2015-07-12,2015-07-19,2,2,140.64608215588,1313544,1064852,1,2.0
259,322,0,2015-07-12,2015-07-19,2,3,321.9631403502769,1313545,1046673,3,2.0
260,324,0,2015-07-12,2015-07-21,2,1,300.5777677728761,1313547,1073931,5,2.0
261,325,0,2015-07-12,2015-07-21,2,1,117.99109971501431,1313548,1088926,0,2.0
262,326,0,2015-07-12,2015-07-23,2,2,93.1319016565072,1313549,1010737,1,2.0
263,327,0,2015-07-12,2015-07-23,2,1,143.01856721433182,1313550,1030052,1,2.0
264,329,0,2015-07-12,2015-07-19,2,1,131.445440179411,1313552,1062526,1,2.0
265,330,0,2015-07-12,2015-07-13,2,1,107.39008321854033,1313553,1024906,0,2.0
266,331,0,2015-07-12,2015-07-14,2,4,255.8465491844178,1313554,1024973,13,4.0
267,332,0,2015-07-12,2015-07-14,2,1,137.23651606660832,1313555,1032791,3,2.0
268,333,0,2015-07-12,2015-07-14,2,5,123.08845627248112,1313556,1045698,5,2.0
269,334,0,2015-07-12,2015-07-14,2,1,151.85304336367795,1313557,1001364,3,2.0
270,335,0,2015-07-12,2015-07-14,2,1,82.10617392222764,1313558,1098890,13,2.0
271,336,0,2015-07-12,2015-07-15,2,2,53.056913458461025,1313559,1089379,17,2.0
272,337,0,2015-07-12,2015-07-15,2,1,133.86929040812026,1313560,1067209,3,2.0
273,339,0,2015-07-12,2015-07-16,2,1,78.02376529142947,1313562,1084726,5,2.0
274,340,0,2015-07-12,2015-07-16,2,3,148.187945977509,1313563,1084412,26,3.0
275,341,0,2015-07-12,2015-07-16,0,4,192.1133175275114,1313564,1043090,15,4.0
276,342,0,2015-07-12,2015-07-17,2,2,148.52294011585457,1313565,1102365,3,2.0
277,344,0,2015-07-12,2015-07-17,2,6,280.44954183754317,1313567,1050031,4,4.0
278,345,0,2015-07-12,2015-07-17,2,2,145.44163671293163,1313568,1102831,3,2.0
279,346,0,2015-07-13,2015-07-20,2,4,122.06884512580686,1313569,1043536,3,2.0
280,347,0,2015-07-13,2015-07-20,2,1,137.8158868533878,1313570,1021970,0,3.0
281,349,0,2015-07-13,2015-07-20,2,1,81.49065924121777,1313572,1052034,1,2.0
282,350,0,2015-07-13,2015-07-15,2,1,143.61841986519087,1313573,1043310,3,2.0
283,351,0,2015-07-13,2015-07-15,2,1,97.90659208381105,1313574,1054189,3,2.0
284,352,0,2015-07-13,2015-07-15,2,1,82.37761814935433,1313575,1020563,22,2.0
285,353,0,2015-07-13,2015-07-15,2,1,107.30619330070449,1313576,1101738,3,2.0
286,354,0,2015-07-13,2015-07-15,0,7,160.60691360911957,1313577,1068354,0,4.0
287,355,0,2015-07-13,2015-07-15,2,1,257.6799358944946,1313578,1049336,3,2.0
288,356,0,2015-07-13,2015-07-15,2,1,116.64006581246531,1313579,1065487,3,2.0
289,358,0,2015-07-13,2015-07-16,2,2,133.6766287850124,1313581,1029276,2,2.0
290,359,0,2015-07-13,2015-07-16,2,1,74.69506871876314,1313582,1017607,0,2.0
291,360,0,2015-07-13,2015-07-16,2,1,45.67447888007592,1313583,1028394,3,2.0
292,361,0,2015-07-13,2015-07-16,2,1,163.15557584680354,1313584,1029883,0,2.0
293,362,0,2015-07-13,2015-07-16,0,3,193.12211666599546,1313585,1034552,3,2.0
294,363,0,2015-07-13,2015-07-17,1,1,156.9689308892111,1313586,1077801,0,1.0
295,366,0,2015-07-13,2015-07-18,0,2,148.69457190661856,1313589,1018777,3,2.0
296,368,0,2015-07-13,2015-07-18,0,2,147.1822319874433,1313591,1061812,0,2.0
297,370,0,2015-07-13,2015-07-18,2,1,92.79454569531596,1313593,1085189,0,2.0
298,372,0,2015-07-13,2015-07-18,0,2,218.2754931747672,1313595,1080933,3,2.0
299,373,0,2015-07-13,2015-07-18,0,3,191.87214531394113,1313596,1052238,0,3.0
300,376,0,2015-07-13,2015-07-19,2,2,53.112480572747955,1313599,1096994,0,1.0
